alias,model,mean,std,se
Claude 3 Opus,exponential,-89.31171126257509,9.54778428177802,4.269898937711932
Claude 3 Opus,logistic,-79.7473326937187,6.658192207273297,2.977634076544492
Claude 3 Opus,weibull,-80.50968887016681,6.420103422683127,2.8711575351397074
Claude 3.5 Sonnet (New),exponential,-106.58242462992905,19.48022411739926,8.711821068687117
Claude 3.5 Sonnet (New),logistic,-93.04767461995935,14.390833417196037,6.435776354745186
Claude 3.5 Sonnet (New),weibull,-93.88879013501557,13.545393248594522,6.057684017164811
Claude 3.5 Sonnet (Old),exponential,-105.44294249376455,17.593964941165776,7.868260320438952
Claude 3.5 Sonnet (Old),logistic,-87.39155385430021,8.768946793868459,3.921592224433742
Claude 3.5 Sonnet (Old),weibull,-90.20345802260424,9.769370356623151,4.368995242956146
Claude 3.7 Sonnet,exponential,-66.83449503690754,15.377329739483757,6.876950921982963
Claude 3.7 Sonnet,logistic,-66.72966578237578,12.447056830207533,5.56649303842942
Claude 3.7 Sonnet,weibull,-66.44783612055078,14.068208719937855,6.291494203887269
GPT-2,exponential,-94.5027028159693,10.826773835001196,4.841880454415753
GPT-2,logistic,-87.87658763812392,7.02629857486016,3.1422562487194425
GPT-2,weibull,-87.2443539163296,7.331379395275856,3.2786925393356228
GPT-4 0125,exponential,-71.53335966931206,11.90821413462209,5.325515259127765
GPT-4 0125,logistic,-63.004299010872856,4.640748106514114,2.075405646523799
GPT-4 0125,weibull,-66.58985472041368,6.341763647570951,2.836122922641133
GPT-4 0314,exponential,-75.16235144077255,3.956360302000875,1.7693381157511108
GPT-4 0314,logistic,-68.16899038786565,2.5725700166536667,1.1504882868230728
GPT-4 0314,weibull,-69.03575207094943,3.0100192456987087,1.3461215293929907
GPT-4 1106,exponential,-99.82910614431115,19.99638211348354,8.942653941962021
GPT-4 1106,logistic,-88.28228921073514,10.385054299521352,4.644337472751241
GPT-4 1106,weibull,-88.21498759339656,11.00997425400769,4.923810172496745
GPT-4 Turbo,exponential,-67.66187332310503,5.670284473240972,2.53582830678568
GPT-4 Turbo,logistic,-64.24948015736908,6.86981115170121,3.072272945558005
GPT-4 Turbo,weibull,-65.87745140136104,5.356945407386332,2.3956988165342286
GPT-4o,exponential,-90.77284297483928,12.65240811475368,5.658328924731837
GPT-4o,logistic,-84.02697091868463,8.246480824316498,3.6879383396640377
GPT-4o,weibull,-83.72815895054055,8.57106919363052,3.8330986713624293
davinci-002 (GPT-3),exponential,-63.26856593342325,8.111672975702113,3.627650436983585
davinci-002 (GPT-3),logistic,-63.9161724772055,6.373992118838714,2.8505359331542564
davinci-002 (GPT-3),weibull,-63.071480063781884,6.931544422454327,3.099880903533479
gpt-3.5-turbo-instruct,exponential,-30.282243523090422,9.68123337138161,4.32957918488975
gpt-3.5-turbo-instruct,logistic,-26.27671024206075,5.497330001083258,2.458480715434231
gpt-3.5-turbo-instruct,weibull,-32.676160644857575,13.515566038984819,6.044344883511525
o1,exponential,-96.41821329305039,11.325881183427507,5.065088046245934
o1,logistic,-88.09021064620991,6.468777772869066,2.892925366294985
o1,weibull,-87.42638718323259,7.0278897030530265,3.1429678228794757
o1-preview,exponential,-85.43840723286199,12.183746024140897,5.448736866114367
o1-preview,logistic,-81.47081319525044,7.7402034164545475,3.4615241997736965
o1-preview,weibull,-81.01389319079071,7.6657835269307775,3.4282426134030617
