alias,n_full,n_trunc,lambda_full,k_full,lambda_trunc,k_trunc
Claude 3 Opus,1371,485,0.06263891703368224,0.563819847444257,0.0661324540395837,0.4805046347668778
Claude 3.5 Sonnet (New),1384,496,0.015710866548158984,0.5509499805781657,0.01426061507617222,0.5559198322347988
Claude 3.5 Sonnet (Old),1378,492,0.026902390887110123,0.5751938808392517,0.021258076713808586,0.6573101629678886
Claude 3.7 Sonnet,1344,474,0.009167180129725411,0.9513229268456029,0.009755555268854885,1.3227066516660906
GPT-4 0125,1379,492,0.09067781794117262,0.6854061766197377,0.09155864339518152,0.523584215267267
GPT-4 0314,1279,437,0.07351463385613084,0.5822245791062134,0.07506198048323931,0.4409526545146084
GPT-4 1106,1376,490,0.04803460939247114,0.5583055088800847,0.032482183684462,0.6600547746547244
GPT-4 Turbo,1372,485,0.07485630844306106,0.7282017104484239,0.11820906871823095,0.4419300973483076
GPT-4o,1362,476,0.04530795121399274,0.5644277935253451,0.03491670113816278,0.5811758405866192
davinci-002 (GPT-3),1469,537,3.972218481879126,0.8549331761864767,204.9934162406924,0.29985122656479585
gpt-3.5-turbo-instruct,1037,258,1.1130850263052892,1.4647526561206645,793.4218754492692,0.2591987799156997
o1,1337,470,0.008535941497269262,0.5834117354530038,0.00789284808962044,0.7879255504364419
o1-preview,1337,454,0.01717791252757331,0.6053732195810122,0.01529529976755206,0.6542408964150079
