alias,capability,cap_z
Claude 3 Opus,0.5215171407731582,-0.13997894091218163
Claude 3.5 Sonnet (New),0.6452312138728323,0.8342010414133587
Claude 3.5 Sonnet (Old),0.6015965166908563,0.49060190621012484
Claude 3.7 Sonnet,0.7291666666666666,1.4951463637236555
GPT-2,0.35254691689008044,-1.4705261098129927
GPT-4 0125,0.495286439448876,-0.3465312232211465
GPT-4 0314,0.5293197810789679,-0.07853745891455875
GPT-4 1106,0.5406976744186046,0.011057165648314392
GPT-4 Turbo,0.5123906705539358,-0.21184485215490254
GPT-4o,0.5513950073421439,0.09529275289624035
davinci-002 (GPT-3),0.23213070115724982,-2.4187372872091593
gpt-3.5-turbo-instruct,0.485053037608486,-0.42711360947860416
o1,0.7030665669409125,1.2896224968548915
o1-preview,0.6507105459985041,0.8773477549569509
