alias,accuracy,mean_minutes,median_minutes,n,lambda,k,log_lambda
Claude 3 Opus,0.5215171407731582,94.9194987804108,10.0,1371,0.0626400411574682,0.5637841642595741,-2.7703505702521007
Claude 3.5 Sonnet (New),0.6452312138728323,95.52565811267571,10.153,1384,0.0157108774526487,0.5509554999152017,-4.1534019751458375
Claude 3.5 Sonnet (Old),0.6015965166908563,95.80223209574979,10.153,1378,0.026902263792706,0.5752053304156405,-3.615544840052573
Claude 3.7 Sonnet,0.7291666666666666,96.26042546721965,9.503499999999999,1344,0.009166977477412,0.951262267932146,-4.6921476569257745
GPT-2,0.35254691689008044,15.00059321036059,0.0851312872,746,8.52498855503825,0.311728173535203,2.1430016806511722
GPT-4 0125,0.495286439448876,94.62888820010384,10.153,1379,0.0906764095242389,0.6854190210705646,-2.4004580491395164
GPT-4 0314,0.5293197810789679,92.27644005312213,8.533,1279,0.073514755544457,0.5822146284202728,-2.6102691372051785
GPT-4 1106,0.5406976744186046,95.27179275286571,10.0765,1376,0.048034298885464,0.5583069610771941,-3.035839963136939
GPT-4 Turbo,0.5123906705539358,93.92140147809272,10.0,1372,0.0748559725534403,0.7282058938693219,-2.5921893776667053
GPT-4o,0.5513950073421439,93.86833394122115,10.0,1362,0.0453081307994404,0.564419234041315,-3.094268774752799
davinci-002 (GPT-3),0.23213070115724982,72.71852677191505,12.043,1469,3.972174418419485,0.8549243415625986,1.379313657207616
o1,0.7030665669409125,94.51200809868601,9.007,1337,0.0085358547806946,0.5834096854969884,-4.763479777698324
o1-preview,0.6507105459985041,92.24879269105699,9.007,1337,0.0171769116197496,0.6053181818863188,-4.064189144607436
