alias,p999_logistic,p999_weibull
Claude 3 Opus,0.001062184907013004,7.626899070259835e-05
Claude 3.5 Sonnet (New),0.005312736621470985,0.00022861672311096367
Claude 3.5 Sonnet (Old),0.004190835827914702,0.0002264957124028959
Claude 3.7 Sonnet,0.3719566279020701,0.07661217702685796
GPT-2,1.9823465759469875e-08,2.7940479963323634e-11
GPT-4 0125,0.004693934428423633,0.0004633807251722264
GPT-4 0314,0.001225066209255485,9.577665030251228e-05
GPT-4 1106,0.002008425296226718,8.819612625587889e-05
GPT-4 Turbo,0.009605874145073733,0.001014747251562477
GPT-4o,0.0021514764898602086,0.00010690812510629592
davinci-002 (GPT-3),0.00055378387940104,7.800875472342441e-05
human,2.1337593276551275e-05,1.6431921153007677e-06
o1,0.009914185530202924,0.0008451645171870022
o1-preview,0.012026391781381634,0.0006446776501266416
