alias,capability,lambda,log_lambda
Claude 3 Opus,0.5215171407731582,0.0626400411574682,-2.7703505702521007
Claude 3.5 Sonnet (New),0.6452312138728323,0.0157108774526487,-4.1534019751458375
Claude 3.5 Sonnet (Old),0.6015965166908563,0.026902263792706,-3.615544840052573
Claude 3.7 Sonnet,0.7291666666666666,0.009166977477412,-4.6921476569257745
GPT-2,0.35254691689008044,8.52498855503825,2.1430016806511722
GPT-4 0125,0.495286439448876,0.0906764095242389,-2.4004580491395164
GPT-4 0314,0.5293197810789679,0.073514755544457,-2.6102691372051785
GPT-4 1106,0.5406976744186046,0.048034298885464,-3.035839963136939
GPT-4 Turbo,0.5123906705539358,0.0748559725534403,-2.5921893776667053
GPT-4o,0.5513950073421439,0.0453081307994404,-3.094268774752799
davinci-002 (GPT-3),0.23213070115724982,3.972174418419485,1.379313657207616
o1,0.7030665669409125,0.0085358547806946,-4.763479777698324
o1-preview,0.6507105459985041,0.0171769116197496,-4.064189144607436
