task_source,alias,n,lambda,k
SWAA,Claude 3 Opus,528,0.1372274392005839,0.9496319614299094
SWAA,Claude 3.5 Sonnet (New),528,0.07828913075953535,0.9370907123883235
SWAA,Claude 3.5 Sonnet (Old),528,0.009375891477270812,2.2662541169092325
SWAA,Claude 3.7 Sonnet,528,0.009375891477270812,2.2662541169092325
SWAA,GPT-2,660,8.362007396165222,0.29787052186087076
SWAA,GPT-4 0125,528,0.009375891477270812,2.2662541169092325
SWAA,GPT-4 0314,528,0.1372274392005839,0.9496319614299094
SWAA,GPT-4 1106,528,0.10895380573741147,0.7689310121202467
SWAA,GPT-4 Turbo,528,0.009375891477270812,2.2662541169092325
SWAA,GPT-4o,528,0.5631707135308653,1.4634827160779822
SWAA,davinci-002 (GPT-3),528,3.915003214591819,0.8423144377319717
SWAA,gpt-3.5-turbo-instruct,528,0.2773803437432149,0.7858880201690306
SWAA,o1,528,1.9286684993844656e-09,0.2640255614123744
SWAA,o1-preview,528,0.009375891477270812,2.2662541169092325
HCAST,Claude 3 Opus,787,0.06985045088122126,0.4310910241883131
HCAST,Claude 3.5 Sonnet (New),800,0.015982489625302236,0.5462794185664283
HCAST,Claude 3.5 Sonnet (Old),794,0.0267387345303366,0.5177437534255199
HCAST,Claude 3.7 Sonnet,760,0.009222591422964516,0.9584504811552221
HCAST,GPT-2,79,1796.973392963888,0.33132471740893726
HCAST,GPT-4 0125,795,0.1038554033579629,0.5169971415604107
HCAST,GPT-4 0314,696,0.08567223167070966,0.4179892826240056
HCAST,GPT-4 1106,792,0.04878954543716516,0.5072038423949565
HCAST,GPT-4 Turbo,791,0.07885221532283515,0.6156686532108542
HCAST,GPT-4o,781,0.045923321488080156,0.4993532767439174
HCAST,davinci-002 (GPT-3),899,3453.716468267536,0.3174587074346063
HCAST,gpt-3.5-turbo-instruct,508,112665.6796236387,0.10712627030866914
HCAST,o1,753,0.008263821327767427,0.5597272429043268
HCAST,o1-preview,758,0.016924936815474426,0.5764323685283498
RE-Bench,Claude 3 Opus,56,5.056540203533212,0.3352747498194288
RE-Bench,Claude 3.5 Sonnet (New),56,2.2677234881757468e+32,0.009958922051634069
RE-Bench,Claude 3.5 Sonnet (Old),56,4.684801146742928e+51,0.008581302596722126
RE-Bench,Claude 3.7 Sonnet,56,1.6898078520471765e+30,0.015882170027901092
RE-Bench,GPT-4 0125,56,5.127819094269891e+23,0.022914444558363577
RE-Bench,GPT-4 0314,55,5.056473610896736,0.33528182862388733
RE-Bench,GPT-4 1106,56,2.0118748274962577e+21,0.025213149819965607
RE-Bench,GPT-4 Turbo,53,5.05489005014767,0.3352324861390114
RE-Bench,GPT-4o,53,5.056184352465811,0.3352945167760455
RE-Bench,o1,56,2.823689654279469e+51,0.007787436467293344
RE-Bench,o1-preview,51,9.573796594007132e+26,0.020043302220757047
