alias,lambda,k,p80_minutes,p20_minutes
Claude 3 Opus,0.0626400411574682,0.5637841642595741,1.116126684234331,37.13059583869118
Claude 3.5 Sonnet (New),0.0157108774526487,0.5509554999152017,4.182746017289995,150.97992197106325
Claude 3.5 Sonnet (Old),0.026902263792706,0.5752053304156405,2.7397995059151343,85.01906131453455
Claude 3.7 Sonnet,0.009166977477412,0.951262267932146,22.541511048511875,179.90240777367634
GPT-2,8.52498855503825,0.311728173535203,0.0009541460839327755,0.5398849462425044
GPT-4 0125,0.0906764095242389,0.6854190210705646,1.2362755553601408,22.081849055591103
GPT-4 0314,0.073514755544457,0.5822146284202728,1.0345874350983297,30.803845090665813
GPT-4 1106,0.048034298885464,0.5583069610771941,1.4180084503263255,48.82349045764848
GPT-4 Turbo,0.0748559725534403,0.7282058938693219,1.7030398495338277,25.679492943236273
GPT-4o,0.0453081307994404,0.564419234041315,1.5477094874402038,51.285587693833264
davinci-002 (GPT-3),3.972174418419485,0.8549243415625986,0.043552651944718704,0.4392556177128198
human,0.0018245173011666,0.3519564891363774,7.7269937670066735,2118.6893898369876
o1,0.0085358547806946,0.5834096854969884,8.957494905015627,264.8532398901332
o1-preview,0.0171769116197496,0.6053181818863188,4.8854074703821055,127.78669762783012
