fold,alias,model,elpd
1,Claude 3 Opus,weibull,-86.53758027092007
1,Claude 3 Opus,exponential,-92.77070699204087
1,Claude 3 Opus,logistic,-86.69698798383538
1,Claude 3.5 Sonnet (New),weibull,-108.42729035306812
1,Claude 3.5 Sonnet (New),exponential,-120.85655254921161
1,Claude 3.5 Sonnet (New),logistic,-109.03494528524857
1,Claude 3.5 Sonnet (Old),weibull,-82.33515875491605
1,Claude 3.5 Sonnet (Old),exponential,-97.1686026383735
1,Claude 3.5 Sonnet (Old),logistic,-79.76153958648734
1,Claude 3.7 Sonnet,weibull,-65.60485335288395
1,Claude 3.7 Sonnet,exponential,-66.4408827192824
1,Claude 3.7 Sonnet,logistic,-65.1991505947602
1,GPT-2,weibull,-87.41342279579999
1,GPT-2,exponential,-84.77035097588242
1,GPT-2,logistic,-87.71862086066017
1,GPT-4 0125,weibull,-60.825407555412795
1,GPT-4 0125,exponential,-65.05595586780612
1,GPT-4 0125,logistic,-58.65018146515252
1,GPT-4 0314,weibull,-64.77437928304636
1,GPT-4 0314,exponential,-71.46213136305985
1,GPT-4 0314,logistic,-64.13346977094565
1,GPT-4 1106,weibull,-83.18847557898522
1,GPT-4 1106,exponential,-86.0401597537714
1,GPT-4 1106,logistic,-85.32646863828717
1,GPT-4 Turbo,weibull,-71.58101780358271
1,GPT-4 Turbo,exponential,-76.62251730089355
1,GPT-4 Turbo,logistic,-67.94999248577898
1,GPT-4o,weibull,-86.73002760728836
1,GPT-4o,exponential,-94.90432245946366
1,GPT-4o,logistic,-88.30299476838312
1,davinci-002 (GPT-3),weibull,-57.44966016054251
1,davinci-002 (GPT-3),exponential,-56.17133171957822
1,davinci-002 (GPT-3),logistic,-58.733181297790836
1,gpt-3.5-turbo-instruct,weibull,-28.771925439453575
1,gpt-3.5-turbo-instruct,exponential,-28.65913758464127
1,gpt-3.5-turbo-instruct,logistic,-28.832736816114817
1,o1,weibull,-90.62736462207928
1,o1,exponential,-100.76206473326764
1,o1,logistic,-88.96658450740223
1,o1-preview,weibull,-92.22613152121575
1,o1-preview,exponential,-102.84992758511359
1,o1-preview,logistic,-92.0986748884718
2,Claude 3 Opus,weibull,-81.6359549086571
2,Claude 3 Opus,exponential,-88.66273116700239
2,Claude 3 Opus,logistic,-81.50729025239055
2,Claude 3.5 Sonnet (New),weibull,-89.87518157986429
2,Claude 3.5 Sonnet (New),exponential,-98.25276213006782
2,Claude 3.5 Sonnet (New),logistic,-89.47467992990454
2,Claude 3.5 Sonnet (Old),weibull,-98.32972564517421
2,Claude 3.5 Sonnet (Old),exponential,-124.43863422410436
2,Claude 3.5 Sonnet (Old),logistic,-93.07835372259746
2,Claude 3.7 Sonnet,weibull,-89.23783459720426
2,Claude 3.7 Sonnet,exponential,-91.70956971130533
2,Claude 3.7 Sonnet,logistic,-87.31327182373377
2,GPT-2,weibull,-81.91390069283048
2,GPT-2,exponential,-79.9468076894876
2,GPT-2,logistic,-82.27361423180153
2,GPT-4 0125,weibull,-68.57880659671933
2,GPT-4 0125,exponential,-69.4650143709774
2,GPT-4 0125,logistic,-68.69272073894652
2,GPT-4 0314,weibull,-70.9304411486753
2,GPT-4 0314,exponential,-75.94446088886595
2,GPT-4 0314,logistic,-69.33691630325734
2,GPT-4 1106,weibull,-102.35563690322317
2,GPT-4 1106,exponential,-125.63343910158814
2,GPT-4 1106,logistic,-98.12916446511602
2,GPT-4 Turbo,weibull,-67.08321752388377
2,GPT-4 Turbo,exponential,-68.43716320070565
2,GPT-4 Turbo,logistic,-65.4438392918383
2,GPT-4o,weibull,-94.38096537697145
2,GPT-4o,exponential,-103.38312771911514
2,GPT-4o,logistic,-93.2531846663338
2,davinci-002 (GPT-3),weibull,-65.08130262397871
2,davinci-002 (GPT-3),exponential,-66.52110225061325
2,davinci-002 (GPT-3),logistic,-65.18407554534619
2,gpt-3.5-turbo-instruct,weibull,-60.3020770164179
2,gpt-3.5-turbo-instruct,exponential,-44.69856826934284
2,gpt-3.5-turbo-instruct,logistic,-29.472642017444002
2,o1,weibull,-80.1900023065422
2,o1,exponential,-84.28165290530069
2,o1,logistic,-81.92055415915434
2,o1-preview,weibull,-79.8549561563006
2,o1-preview,exponential,-83.1470371728031
2,o1-preview,logistic,-83.12925052827484
3,Claude 3 Opus,weibull,-86.94570808463132
3,Claude 3 Opus,exponential,-101.41478553153324
3,Claude 3 Opus,logistic,-85.05144592569205
3,Claude 3.5 Sonnet (New),weibull,-84.81289329108158
3,Claude 3.5 Sonnet (New),exponential,-96.71008509445785
3,Claude 3.5 Sonnet (New),logistic,-82.89331326131352
3,Claude 3.5 Sonnet (Old),weibull,-83.38982467517735
3,Claude 3.5 Sonnet (Old),exponential,-92.35887736278036
3,Claude 3.5 Sonnet (Old),logistic,-81.10268287948718
3,Claude 3.7 Sonnet,weibull,-67.17076517090966
3,Claude 3.7 Sonnet,exponential,-68.00660185921927
3,Claude 3.7 Sonnet,logistic,-66.47676291869702
3,GPT-2,weibull,-78.82820034063458
3,GPT-2,exponential,-79.63688356599698
3,GPT-2,logistic,-80.19359326142445
3,GPT-4 0125,weibull,-61.45206878985233
3,GPT-4 0125,exponential,-63.853379940693785
3,GPT-4 0125,logistic,-58.57022718541427
3,GPT-4 0314,weibull,-69.15470135783474
3,GPT-4 0314,exponential,-74.20593590770491
3,GPT-4 0314,logistic,-68.9256140502988
3,GPT-4 1106,weibull,-75.62747253414423
3,GPT-4 1106,exponential,-82.29085552748082
3,GPT-4 1106,logistic,-74.37848850830304
3,GPT-4 Turbo,weibull,-60.17561397684358
3,GPT-4 Turbo,exponential,-62.43276028389321
3,GPT-4 Turbo,logistic,-58.231663173821666
3,GPT-4o,weibull,-87.97572404170404
3,GPT-4o,exponential,-96.89607142363597
3,GPT-4o,logistic,-88.37581058841442
