,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
k[0],0.639,0.033,0.574,0.702,0.001,0.001,1517.0,686.0,1.0
k[1],0.608,0.028,0.552,0.662,0.001,0.001,1900.0,1529.0,1.0
k[2],0.598,0.026,0.55,0.653,0.0,0.001,3060.0,1920.0,1.0
k[3],0.853,0.045,0.769,0.944,0.001,0.001,2276.0,1787.0,1.0
k[4],0.679,0.229,0.344,1.074,0.07,0.01,9.0,83.0,1.37
k[5],0.706,0.035,0.641,0.776,0.001,0.001,2847.0,1502.0,1.0
k[6],0.663,0.036,0.59,0.73,0.001,0.001,2565.0,1642.0,1.0
k[7],0.606,0.03,0.544,0.661,0.001,0.001,2543.0,2098.0,1.0
k[8],0.773,0.041,0.696,0.853,0.001,0.001,2757.0,1829.0,1.0
k[9],0.649,0.035,0.584,0.717,0.001,0.001,2941.0,1902.0,1.0
k[10],0.786,0.067,0.667,0.919,0.001,0.001,1987.0,1844.0,1.0
k[11],0.928,0.054,0.827,1.036,0.001,0.001,2070.0,1615.0,1.0
k[12],0.639,0.033,0.577,0.7,0.001,0.001,2082.0,1585.0,1.01
k[13],0.7,0.037,0.629,0.77,0.001,0.001,3305.0,1864.0,1.0
lam[0],3.348,0.286,2.829,3.921,0.005,0.007,3096.0,1883.0,1.0
lam[1],0.878,0.075,0.741,1.038,0.002,0.002,2307.0,1760.0,1.0
lam[2],1.349,0.115,1.133,1.582,0.002,0.002,2399.0,1766.0,1.0
lam[3],0.521,0.041,0.446,0.6,0.001,0.001,2880.0,1751.0,1.0
lam[4],307.693,182.482,91.735,621.802,75.187,22.893,8.0,69.0,1.42
lam[5],4.467,0.35,3.765,5.126,0.006,0.008,3050.0,1783.0,1.0
lam[6],3.777,0.329,3.148,4.41,0.007,0.007,2511.0,1414.0,1.01
lam[7],2.668,0.234,2.218,3.108,0.004,0.005,2774.0,1817.0,1.0
lam[8],3.93,0.295,3.355,4.489,0.006,0.006,2417.0,1841.0,1.0
lam[9],2.567,0.21,2.172,2.979,0.004,0.005,2594.0,1640.0,1.0
lam[10],210.838,22.613,167.487,257.406,0.445,0.554,2517.0,1616.0,1.0
lam[11],34.937,3.901,27.77,42.79,0.078,0.077,2405.0,1738.0,1.0
lam[12],0.545,0.049,0.45,0.642,0.001,0.001,3185.0,1874.0,1.0
lam[13],1.063,0.093,0.886,1.244,0.002,0.002,3060.0,1888.0,1.01
