,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
k[0],0.636,0.03,0.573,0.693,0.002,0.001,310.0,508.0,1.01
k[1],0.608,0.028,0.558,0.666,0.001,0.001,534.0,578.0,1.0
k[2],0.598,0.026,0.551,0.649,0.001,0.001,1164.0,609.0,1.0
k[3],0.847,0.045,0.762,0.939,0.002,0.002,732.0,541.0,1.0
k[4],0.771,0.041,0.694,0.859,0.002,0.002,670.0,344.0,1.01
k[5],0.648,0.034,0.58,0.713,0.001,0.001,854.0,781.0,1.0
k[6],0.64,0.032,0.579,0.702,0.001,0.001,1041.0,637.0,1.01
lam[0],3.313,0.275,2.791,3.848,0.01,0.01,835.0,324.0,1.02
lam[1],0.878,0.074,0.746,1.034,0.003,0.002,751.0,587.0,1.01
lam[2],1.339,0.12,1.126,1.593,0.006,0.004,402.0,701.0,1.0
lam[3],0.521,0.037,0.443,0.591,0.001,0.002,954.0,547.0,1.02
lam[4],3.895,0.273,3.389,4.427,0.008,0.01,1047.0,680.0,1.03
lam[5],2.531,0.204,2.165,2.914,0.021,0.009,90.0,27.0,1.02
lam[6],0.552,0.05,0.451,0.646,0.003,0.002,369.0,761.0,1.01
c[0],0.999,0.001,0.996,1.0,0.0,0.0,794.0,435.0,1.01
c[1],0.999,0.001,0.997,1.0,0.0,0.0,250.0,148.0,1.03
c[2],0.999,0.001,0.997,1.0,0.0,0.0,558.0,481.0,1.01
c[3],0.999,0.001,0.997,1.0,0.0,0.0,385.0,311.0,1.01
c[4],0.999,0.001,0.997,1.0,0.0,0.0,568.0,373.0,1.02
c[5],0.999,0.001,0.996,1.0,0.0,0.0,424.0,179.0,1.03
c[6],0.999,0.001,0.996,1.0,0.0,0.0,475.0,265.0,1.02
