,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
k[0],5.327,11.532,0.672,15.889,0.201,1.891,4930.0,2702.0,1.0
k[1],4.644,8.459,0.632,14.567,0.154,0.837,2625.0,3659.0,1.0
k[2],0.411,0.136,0.181,0.69,0.002,0.002,5349.0,4467.0,1.0
k[3],0.453,0.074,0.321,0.608,0.001,0.001,5537.0,4757.0,1.0
k[4],5.433,10.298,0.584,17.817,0.171,1.113,5548.0,3616.0,1.0
k[5],4.884,9.504,0.257,15.912,0.189,1.108,6060.0,3800.0,1.0
k[6],7.536,7.909,0.956,20.681,0.144,0.531,5224.0,4456.0,1.0
k[7],1.358,0.188,1.01,1.743,0.002,0.003,9582.0,4193.0,1.0
k[8],1.238,0.752,0.187,2.721,0.01,0.01,4115.0,4136.0,1.0
k[9],5.613,15.941,0.558,17.013,0.256,4.938,4753.0,3202.0,1.0
k[10],0.42,0.107,0.226,0.636,0.001,0.001,5557.0,4439.0,1.0
k[11],5.086,10.878,0.299,15.596,0.302,2.053,5689.0,3676.0,1.0
k[12],3.401,3.054,0.361,8.599,0.045,0.118,3200.0,1956.0,1.0
k[13],1.699,0.789,0.577,3.245,0.011,0.019,5322.0,4915.0,1.0
k[14],0.829,0.346,0.215,1.491,0.005,0.004,3412.0,2442.0,1.0
k[15],0.476,0.286,0.062,1.077,0.004,0.004,4230.0,3820.0,1.0
k[16],9.539,6.464,3.377,20.557,0.109,0.393,4977.0,3943.0,1.0
k[17],6.749,4.119,2.382,13.769,0.079,0.235,3850.0,3031.0,1.0
k[18],0.702,0.584,0.176,1.777,0.009,0.023,4194.0,4251.0,1.0
k[19],0.58,0.125,0.351,0.832,0.002,0.002,5522.0,3819.0,1.0
k[20],6.5,4.304,0.62,13.148,0.245,0.052,358.0,1379.0,1.01
k[21],34.883,18.934,7.04,68.459,0.279,0.583,3024.0,1674.0,1.0
k[22],0.99,0.292,0.526,1.545,0.004,0.007,5644.0,4240.0,1.0
k[23],6.068,12.767,0.348,19.725,0.261,2.167,5199.0,3242.0,1.0
k[24],1.006,0.438,0.194,1.801,0.007,0.005,3670.0,2741.0,1.0
k[25],1.056,0.445,0.347,1.929,0.006,0.006,5711.0,4194.0,1.0
k[26],0.924,0.546,0.354,1.669,0.012,0.088,4412.0,3213.0,1.0
c,0.993,0.002,0.989,0.998,0.0,0.0,597.0,1725.0,1.01
