alias,n_full,n_trunc,lambda_full,k_full,lambda_trunc,k_trunc
Claude 3 Opus,1371,485,0.055890621034036,0.6324447538425139,0.05797234633203078,0.5416766138045499
Claude 3.5 Sonnet (New),1384,496,0.014627866570311869,0.6010561048648397,0.014262749906109864,0.5468008928081061
Claude 3.5 Sonnet (Old),1378,492,0.02244730146062231,0.591164600020677,0.02325926062902259,0.4927724365721322
Claude 3.7 Sonnet,1344,474,0.008679255011551363,0.8695920910950371,0.008265330868319546,0.9078059176114571
GPT-4 0125,1379,492,0.07426919076833578,0.7070816833169561,0.11953926518338005,0.4480415396824315
GPT-4 0314,1279,437,0.06305382554122921,0.6582560921112982,0.04884153207284108,0.6501882303323036
GPT-4 1106,1376,490,0.04455358499121754,0.596603094526213,0.03310764218673961,0.6396014730435614
GPT-4 Turbo,1372,485,0.06518894785507891,0.7837281741301704,0.08465509296517304,0.5466144202804872
GPT-4o,1362,476,0.042856359224987636,0.643440091393191,0.030967377948124465,0.7343356724985661
davinci-002 (GPT-3),1469,537,3.7051171748143195,0.821384510557605,0.7092385243698007,2.05588682902351
gpt-3.5-turbo-instruct,1037,258,0.5946385202115285,0.960494455207085,0.1316685170890083,2.7357162354897464
o1,1337,470,0.009080762207621794,0.6326615818124182,0.00773040280301246,0.732332486566286
o1-preview,1337,454,0.0177496933690686,0.7009298709577022,0.015650079845608563,0.7156106554023276
