alias,accuracy,mean_minutes,median_minutes,n,lambda,k,log_lambda
Claude 3 Opus,0.5215171407731582,94.9194987804108,10.0,1371,0.055890621034036,0.6324447538425139,-2.884358694042172
Claude 3.5 Sonnet (New),0.6452312138728323,95.52565811267571,10.153,1384,0.0146278665703118,0.6010561048648397,-4.224826900263005
Claude 3.5 Sonnet (Old),0.6015965166908563,95.80223209574979,10.153,1378,0.0224473014606223,0.591164600020677,-3.796584874218189
Claude 3.7 Sonnet,0.7291666666666666,96.26042546721965,9.503499999999999,1344,0.0086792550115513,0.8695920910950371,-4.746819582155618
GPT-2,0.35254691689008044,15.00059321036059,0.0851312872,746,9.133001611499582,0.3732452705889859,2.211894404157526
GPT-4 0125,0.495286439448876,94.62888820010384,10.153,1379,0.0742691907683357,0.7070816833169561,-2.6000590731683473
GPT-4 0314,0.5293197810789679,92.27644005312213,8.533,1279,0.0630538255412292,0.6582560921112982,-2.7637665436897323
GPT-4 1106,0.5406976744186046,95.27179275286571,10.0765,1376,0.0445535849912175,0.596603094526213,-3.1110626571196174
GPT-4 Turbo,0.5123906705539358,93.92140147809272,10.0,1372,0.0651889478550789,0.7837281741301704,-2.7304653358433857
GPT-4o,0.5513950073421439,93.86833394122115,10.0,1362,0.0428563592249876,0.643440091393191,-3.149901238298707
davinci-002 (GPT-3),0.23213070115724982,72.71852677191505,12.043,1469,3.705117174814319,0.821384510557605,1.309714884378675
o1,0.7030665669409125,94.51200809868601,9.007,1337,0.0090807622076217,0.6326615818124182,-4.701597146321328
o1-preview,0.6507105459985041,92.24879269105699,9.007,1337,0.0177496933690686,0.7009298709577022,-4.031387038191977
