alias,logistic,weibull
Claude 3 Opus,0.00037312209947944165,8.47290421070903e-06
Claude 3.5 Sonnet (New),0.0008930911297427187,1.5132209741951615e-05
Claude 3.5 Sonnet (Old),0.0011160533330331025,7.630756159056117e-06
Claude 3.7 Sonnet,0.05018512064181615,0.00289524073706945
GPT-2,9.972286305778621e-09,2.10199183555197e-12
GPT-4 0125,0.0022900098130852822,2.965971544875023e-05
GPT-4 0314,0.00044486277376978606,1.3294108423055358e-05
GPT-4 1106,0.00018909922908986166,4.431275804772168e-06
GPT-4 Turbo,0.0037847971067126616,0.00012079343849339042
GPT-4o,0.0004142015722109221,1.4172077138848776e-05
davinci-002 (GPT-3),0.00014963909977889402,3.6424874080864443e-06
human,2.3601927889296838e-07,1.1995545143578015e-08
o1,0.0010250704151179893,5.2410285730162486e-05
o1-preview,0.003235016668402147,0.00011069681494416178
