fold,alias,model,elpd
1,Claude 3 Opus,weibull,-86.41530882284972
1,Claude 3 Opus,exponential,-93.37613245944318
1,Claude 3 Opus,logistic,-86.58399060032698
1,Claude 3.5 Sonnet (New),weibull,-108.3487980809173
1,Claude 3.5 Sonnet (New),exponential,-123.29109361653957
1,Claude 3.5 Sonnet (New),logistic,-108.99863762562053
1,Claude 3.5 Sonnet (Old),weibull,-82.1983818080404
1,Claude 3.5 Sonnet (Old),exponential,-97.00455155812351
1,Claude 3.5 Sonnet (Old),logistic,-79.59464962444288
1,Claude 3.7 Sonnet,weibull,-65.4526927314062
1,Claude 3.7 Sonnet,exponential,-66.00476839397471
1,Claude 3.7 Sonnet,logistic,-65.04598985277293
1,GPT-2,weibull,-87.40206662937098
1,GPT-2,exponential,-98.19172863541402
1,GPT-2,logistic,-87.70659190070282
1,GPT-4 0125,weibull,-60.705736773508505
1,GPT-4 0125,exponential,-64.80128050823735
1,GPT-4 0125,logistic,-58.52427229596188
1,GPT-4 0314,weibull,-64.67684393854782
1,GPT-4 0314,exponential,-71.69994230203261
1,GPT-4 0314,logistic,-64.01434176295002
1,GPT-4 1106,weibull,-83.09355282057211
1,GPT-4 1106,exponential,-87.98021591064285
1,GPT-4 1106,logistic,-85.31691022157537
1,GPT-4 Turbo,weibull,-71.47464403563855
1,GPT-4 Turbo,exponential,-76.38225527957384
1,GPT-4 Turbo,logistic,-67.81691299274718
1,GPT-4o,weibull,-86.63341500773342
1,GPT-4o,exponential,-97.01572624046456
1,GPT-4o,logistic,-88.25809975844902
1,davinci-002 (GPT-3),weibull,-57.351750501757564
1,davinci-002 (GPT-3),exponential,-54.60300743333967
1,davinci-002 (GPT-3),logistic,-58.66517895205326
1,gpt-3.5-turbo-instruct,weibull,-28.71409838464095
1,gpt-3.5-turbo-instruct,exponential,-28.51439922183401
1,gpt-3.5-turbo-instruct,logistic,-28.81828692315188
1,o1,weibull,-90.43768050541514
1,o1,exponential,-100.69378945705716
1,o1,logistic,-88.8479132079608
1,o1-preview,weibull,-92.11798241900254
1,o1-preview,exponential,-103.16453184365086
1,o1-preview,logistic,-92.03343041144464
2,Claude 3 Opus,weibull,-81.54276749530881
2,Claude 3 Opus,exponential,-89.44954961063752
2,Claude 3 Opus,logistic,-81.388492853652
2,Claude 3.5 Sonnet (New),weibull,-89.74570079732045
2,Claude 3.5 Sonnet (New),exponential,-97.4093889401504
2,Claude 3.5 Sonnet (New),logistic,-89.3524646342942
2,Claude 3.5 Sonnet (Old),weibull,-98.20965994445136
2,Claude 3.5 Sonnet (Old),exponential,-124.6487624732573
2,Claude 3.5 Sonnet (Old),logistic,-92.93439605734254
2,Claude 3.7 Sonnet,weibull,-89.0715881890569
2,Claude 3.7 Sonnet,exponential,-91.51196077669344
2,Claude 3.7 Sonnet,logistic,-87.11733736796788
2,GPT-2,weibull,-81.92527899502716
2,GPT-2,exponential,-93.09023160800704
2,GPT-2,logistic,-82.27025149904668
2,GPT-4 0125,weibull,-68.44134227424516
2,GPT-4 0125,exponential,-69.10459180936527
2,GPT-4 0125,logistic,-68.51980194531606
2,GPT-4 0314,weibull,-70.83292543700344
2,GPT-4 0314,exponential,-75.78239149300396
2,GPT-4 0314,logistic,-69.2289103512715
2,GPT-4 1106,weibull,-102.20673902332571
2,GPT-4 1106,exponential,-131.31155010618227
2,GPT-4 1106,logistic,-97.88610003021802
2,GPT-4 Turbo,weibull,-66.94256221394272
2,GPT-4 Turbo,exponential,-67.98825425784617
2,GPT-4 Turbo,logistic,-65.26618233278529
2,GPT-4o,weibull,-94.24326428200717
2,GPT-4o,exponential,-103.6051995077571
2,GPT-4o,logistic,-93.08319961826064
2,davinci-002 (GPT-3),weibull,-65.03468745157355
2,davinci-002 (GPT-3),exponential,-67.26903179735535
2,davinci-002 (GPT-3),logistic,-65.2088682446244
2,gpt-3.5-turbo-instruct,weibull,-55.18968464362581
2,gpt-3.5-turbo-instruct,exponential,-44.8334265738887
2,gpt-3.5-turbo-instruct,logistic,-29.319339849271028
2,o1,weibull,-80.22993839419009
2,o1,exponential,-87.4780452638343
2,o1,logistic,-82.24416502101468
2,o1-preview,weibull,-79.7190568701117
2,o1-preview,exponential,-83.14416283326688
2,o1-preview,logistic,-83.06067836137888
3,Claude 3 Opus,weibull,-86.85810951887677
3,Claude 3 Opus,exponential,-102.90398080424566
3,Claude 3 Opus,logistic,-84.98619684523311
