,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
k[0],0.53,0.028,0.478,0.585,0.001,0.001,726.0,345.0,1.01
k[1],0.496,0.025,0.449,0.545,0.001,0.001,889.0,675.0,1.01
k[2],0.513,0.025,0.467,0.564,0.001,0.001,1412.0,628.0,1.0
k[3],0.602,0.033,0.541,0.671,0.002,0.001,398.0,164.0,1.01
k[4],0.632,0.036,0.568,0.708,0.001,0.001,950.0,820.0,1.0
k[5],0.519,0.025,0.475,0.568,0.001,0.001,946.0,749.0,1.01
k[6],0.603,0.035,0.533,0.671,0.001,0.002,989.0,347.0,1.0
lam[0],3.983,0.44,3.144,4.864,0.012,0.014,1327.0,724.0,1.0
lam[1],0.9,0.11,0.716,1.119,0.003,0.003,1224.0,747.0,1.0
lam[2],1.593,0.193,1.249,1.988,0.007,0.008,945.0,506.0,1.01
lam[3],0.426,0.044,0.345,0.513,0.001,0.001,1186.0,546.0,1.0
lam[4],5.746,0.612,4.582,6.829,0.019,0.02,939.0,213.0,1.0
lam[5],2.642,0.275,2.079,3.151,0.008,0.009,1240.0,792.0,1.0
lam[6],0.53,0.057,0.422,0.639,0.002,0.002,1089.0,636.0,1.0
c[0],0.998,0.002,0.995,1.0,0.0,0.0,441.0,419.0,1.01
c[1],0.998,0.002,0.995,1.0,0.0,0.0,271.0,160.0,1.01
c[2],0.998,0.002,0.995,1.0,0.0,0.0,429.0,358.0,1.0
c[3],0.998,0.002,0.994,1.0,0.0,0.0,412.0,403.0,1.0
c[4],0.998,0.002,0.995,1.0,0.0,0.0,356.0,348.0,1.01
c[5],0.998,0.002,0.995,1.0,0.0,0.0,326.0,269.0,1.0
c[6],0.998,0.002,0.995,1.0,0.0,0.0,335.0,211.0,1.0
