alias,n,logistic_b0,logistic_b1,exponential_lambda,weibull_lambda,weibull_k,is_effectively_exponential,ll_logistic,ll_exponential,ll_weibull,bic_logistic,bic_exponential,bic_weibull,best_bic
Claude 3 Opus (Inspect),1038,1.319868990143449,-0.8372459334395103,0.05111711908434116,0.06716829854822656,0.5255303693005425,False,-309.3488122990479,-412.4013563076963,-320.83171576623795,632.5877267255474,831.7477636791184,655.5535336599276,logistic
Claude 3.5 Sonnet (New) (Inspect),1016,2.09730662501864,-0.6851326213280738,0.011942224343713514,0.015031880271962327,0.4821897880438061,False,-369.149254563284,-497.81228984760014,-372.9481517030831,752.1457663828448,1002.5482083233387,759.7435606624431,logistic
Claude 3.5 Sonnet (Old) (Inspect),1005,1.946937845277089,-0.7796809718246007,0.019984614733591224,0.026536643188789732,0.5040977790498564,False,-333.8789948743291,-460.9683567346114,-344.6695928715742,681.5834753896446,928.8494562897159,703.1646713841347,logistic
Claude 3.7 Sonnet (Inspect),1043,3.241705266379718,-0.7914817075262423,0.006911609669886542,0.007163471180389608,0.6082330747285015,False,-336.8767348367086,-374.6265338086617,-330.56942052274206,687.6531825834187,756.2029240723242,675.0385539554857,weibull
Claude 4 Opus (Inspect),1368,3.7304198666705317,-0.8095808539552228,0.004798166968094502,0.004591150527224449,0.6273324791132622,False,-477.88861158591686,-522.903972993018,-473.9559999191712,970.2194333681987,1053.0290510842185,962.3542100347073,weibull
Claude Opus 4.5 (Inspect),1044,4.33705856698769,-0.7539292818108435,0.0021598426901125204,0.0016653844262110283,0.6346565248581574,False,-298.31273021776246,-319.6633022440854,-298.2146183328557,610.5270899724101,646.2774192566134,610.3308662025966,weibull
GPT-4 0314,1401,1.4055236134725797,-0.9752880494822841,0.08455995723697948,0.0934792776625811,0.6463326968861256,False,-361.30081274337766,-407.35501609030996,-368.27888744128575,737.0915085794294,821.954973726957,751.0476579752456,logistic
GPT-4 1106 (Inspect),1029,1.3696109264894063,-0.9035327788589185,0.07305868423138898,0.08126340398804961,0.6030847751365275,False,-284.2521854991255,-329.0675313429773,-288.817264641546,582.3770564699191,665.0714054217887,591.5072147547601,logistic
GPT-4 Turbo (Inspect),1032,1.466745985117783,-1.0544620805050215,0.08314134196562575,0.0974890966808773,0.6520755258851892,False,-238.341139696776,-283.50210050250325,-252.8214277478651,490.560787285635,573.943454951048,519.5213633878133,logistic
GPT-4o (Inspect),1044,1.7642569130814187,-0.8887258942078614,0.0348852523857849,0.04507827166504381,0.5136977155649206,False,-300.85163939704336,-432.598245972579,-321.5925402714599,615.6049083309719,872.1473067136005,657.0867100798049,logistic
GPT-5 (Inspect),1056,4.459684186623398,-0.8376145997868006,0.0027480582221576268,0.002407718710785492,0.6664022273818218,False,-303.5993787420148,-325.18814972650136,-305.6395782321623,621.1232444125619,657.3385429172689,625.203643392857,logistic
human,773,2.356764628154832,-0.44710272492953684,0.003655672770908157,0.0018597494180770417,0.37590892048948854,False,-361.0473775777404,-459.69135557711854,-361.261947511781,735.3953132526557,926.0329902028245,735.8244531207368,logistic
o1 (Inspect),1044,3.1572884625966307,-0.8181383644450576,0.008349306171239699,0.008862234216147877,0.611892397145682,False,-332.7828426860842,-372.40215713779094,-327.319056033915,679.4673149090536,751.7551290440244,668.5397416047151,weibull
o1-preview,1661,2.8576319272052655,-0.9139721365785587,0.016949907506731487,0.018195371183651082,0.6129016164759439,False,-548.5291041475007,-628.0820552572912,-547.5000282458054,1111.888558514228,1263.5792856241958,1109.8304067108375,weibull
o3 (Inspect),1044,5.049766051415706,-1.03508289058297,0.003944760146369092,0.003891735474354186,0.7845601096443863,False,-266.79925219798804,-273.8362369557043,-266.22183309594243,547.5001339328612,554.6232886798512,546.34529572877,weibull
