alias,n,lambda,lambda_ci_low,lambda_ci_high,k,k_ci_low,k_ci_high,bootstrap_n,bootstrap_success
Claude 3 Opus (Inspect),1038,0.06716829854822656,0.05558251792884448,0.08674116559452426,0.5255303693005425,0.4902080464028339,0.5890422398375027,300,300
Claude 3.5 Sonnet (New) (Inspect),1016,0.015031880271962327,0.01138127604074012,0.0193899162110702,0.4821897880438061,0.44099978498070963,0.5314618051465788,300,300
Claude 3.5 Sonnet (Old) (Inspect),1005,0.026536643188789732,0.020639426720908908,0.03441043486939759,0.5040977790498564,0.4636542268998636,0.5571309002587107,300,300
Claude 3.7 Sonnet (Inspect),1043,0.007163471180389608,0.005937856004265789,0.008645625521953708,0.6082330747285015,0.55268309018564,0.6743887392142699,300,300
Claude 4 Opus (Inspect),1368,0.004591150527224449,0.003713939214102704,0.0052913470567968034,0.6273324791132622,0.5539920327673261,0.694144847222443,300,300
Claude Opus 4.5 (Inspect),1044,0.0016653844262110283,0.001213600105064634,0.0021168457432108145,0.6346565248581574,0.5475529875555493,0.737743635697295,300,300
GPT-4 0314,1401,0.0934792776625811,0.07941496034289316,0.1094370869957287,0.6463326968861256,0.6009056192004562,0.7039838392724307,300,300
GPT-4 1106 (Inspect),1029,0.08126340398804961,0.06497264633074509,0.10241119059979999,0.6030847751365275,0.5600926556330692,0.6633245878203496,300,300
GPT-4 Turbo (Inspect),1032,0.0974890966808773,0.07981738982604474,0.1171766042992794,0.6520755258851892,0.5928502715177635,0.7309468492723074,300,300
GPT-4o (Inspect),1044,0.04507827166504381,0.03584572761081788,0.06060015351760269,0.5136977155649206,0.45852414305711797,0.6053840876404839,300,300
GPT-5 (Inspect),1056,0.002407718710785492,0.0018613346400753556,0.00298929394352654,0.6664022273818218,0.5957662469444948,0.7546708615841325,300,300
human,773,0.0018597494180770417,0.001134164041620258,0.002772534815688738,0.37590892048948854,0.31680348922442225,0.44797458021267594,300,300
o1 (Inspect),1044,0.008862234216147877,0.007167662010399532,0.01115654011404449,0.611892397145682,0.557734858138655,0.6831012752247815,300,300
o1-preview,1661,0.018195371183651082,0.015479503799693732,0.021597150247178416,0.6129016164759439,0.5661714381775633,0.6712925851170441,300,300
o3 (Inspect),1044,0.003891735474354186,0.0032280171434817587,0.004558334785652363,0.7845601096443863,0.6924879333257956,0.9025349687999165,300,300
