,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
k[0],0.638,0.031,0.58,0.698,0.001,0.0,2615.0,3658.0,1.0
k[1],0.61,0.028,0.557,0.666,0.0,0.0,4764.0,5361.0,1.0
k[2],0.598,0.027,0.542,0.651,0.001,0.0,2842.0,3398.0,1.0
k[3],0.846,0.045,0.761,0.934,0.001,0.001,3373.0,4914.0,1.0
k[4],0.771,0.041,0.691,0.852,0.001,0.001,3914.0,5093.0,1.01
k[5],0.65,0.034,0.585,0.713,0.002,0.0,350.0,4454.0,1.01
k[6],0.641,0.031,0.578,0.702,0.001,0.0,3458.0,4672.0,1.0
lam[0],3.328,0.284,2.739,3.865,0.01,0.012,1120.0,429.0,1.0
lam[1],0.88,0.076,0.725,1.032,0.002,0.002,1942.0,1327.0,1.01
lam[2],1.344,0.117,1.13,1.586,0.002,0.002,2406.0,3452.0,1.0
lam[3],0.519,0.04,0.445,0.6,0.001,0.001,2285.0,2816.0,1.0
lam[4],3.892,0.286,3.351,4.456,0.005,0.004,2806.0,4595.0,1.0
lam[5],2.529,0.221,2.093,2.925,0.019,0.017,146.0,21.0,1.02
lam[6],0.548,0.048,0.46,0.649,0.001,0.001,4538.0,5187.0,1.0
c[0],0.999,0.001,0.997,1.0,0.0,0.0,2174.0,2688.0,1.01
c[1],0.999,0.001,0.997,1.0,0.0,0.0,1266.0,2597.0,1.01
c[2],0.999,0.001,0.997,1.0,0.0,0.0,814.0,2922.0,1.01
c[3],0.999,0.001,0.997,1.0,0.0,0.0,682.0,2403.0,1.01
c[4],0.999,0.001,0.997,1.0,0.0,0.0,1789.0,2414.0,1.0
c[5],0.999,0.001,0.997,1.0,0.0,0.0,2089.0,3110.0,1.01
c[6],0.999,0.001,0.996,1.0,0.0,0.0,1917.0,2654.0,1.01
