alias,n,logistic_b0,logistic_b1,exponential_lambda,weibull_lambda,weibull_k,ll_logistic,ll_exponential,ll_weibull,bic_logistic,bic_exponential,bic_weibull,best_bic
Claude 3 Opus,1371,1.8602934242445694,-0.9311267899504513,0.048671521943204434,0.055890621034036,0.6324447538425139,-397.5672083160939,-444.9751981565626,-401.2425717783172,809.5810079913125,897.1736919926875,816.9317349157591,logistic
Claude 3.5 Sonnet (New),1384,2.9804557444113895,-0.8873298143351634,0.014081838853196074,0.014627866570311869,0.6010561048648397,-463.1383650641835,-533.5996573751133,-468.20169957112546,940.7421964007223,1074.4320478864042,950.8688654146061,logistic
Claude 3.5 Sonnet (Old),1378,2.762448527355218,-0.9484896997265035,0.019540927093836178,0.02244730146062231,0.591164600020677,-434.7057033507281,-527.975738079547,-449.17712834108943,883.8681836046034,1063.1798646106677,912.8110335853261,logistic
Claude 3.7 Sonnet,1344,5.327957308838897,-1.2975385833405086,0.008826227279029143,0.008679255011551363,0.8695920910950371,-332.37306463678436,-334.29666601281974,-330.54012946136123,679.1529403157349,675.7967375467226,675.4870699648886,weibull
GPT-2,746,-1.914437194280737,-0.603832287762404,9.385111271667043,9.133001611499582,0.37324527058898593,-437.2696524712009,-472.22072832365825,-433.96454739239897,887.7687561428094,951.0561822475203,881.1585459852055,weibull
GPT-4 0125,1379,2.1269229987238147,-1.1651727740624735,0.06881569390472513,0.07426919076833578,0.7070816833169561,-314.2596017603557,-356.6900820375698,-331.85707920545417,642.9774312762979,720.609277952933,678.1723861664949,logistic
GPT-4 0314,1279,1.7962630269263509,-0.9606403983565112,0.055593553744489904,0.06305382554122921,0.6582560921112982,-339.8533292033646,-375.65808111554315,-344.130238026643,694.0143260098869,758.4699960326651,702.5681436564437,logistic
GPT-4 1106,1376,1.879788564122024,-0.8550388125639903,0.039750790956606843,0.04455358499121754,0.596603094526213,-440.0593646204168,-496.3271111863602,-438.326365584914,894.5726012778201,999.8811583912136,891.1066032068146,weibull
GPT-4 Turbo,1372,2.454610088910346,-1.211389166147296,0.05993252285522771,0.06518894785507891,0.7837281741301704,-316.8362074400877,-334.8441379161253,-324.826900022378,648.1204644967471,676.9123006405364,664.1018496613277,logistic
GPT-4o,1362,2.103456285967937,-0.912394414314537,0.040406781161927016,0.042856359224987636,0.643440091393191,-417.9490608294119,-450.62996431624583,-415.78536104698173,850.3315406322428,908.4766381192011,846.0041410673824,weibull
davinci-002 (GPT-3),1469,-2.5860079758497014,-1.3393741047311445,4.1192871499717505,3.7051171748143195,0.821384510557605,-312.8091695425209,-313.84234217856,-311.0684886656173,640.2030134373896,634.9770215332939,636.7216516835823,exponential
human,793,2.329914147202478,-0.4508924143175148,0.0037947250121397103,0.0020490131766937396,0.377020848576964,-378.8448628427283,-481.53348244391276,-378.93835744416566,771.0413721287263,969.7427881094603,771.228361331601,logistic
o1,1337,3.333100201716316,-0.8538639129944671,0.009384265188388974,0.009080762207621794,0.6326615818124182,-438.86766049274706,-481.3677800212281,-435.55796977595867,892.131688139698,969.9337436195582,885.5123067061212,weibull
o1-preview,1337,3.3615570073003442,-1.020050183322948,0.018492292933477615,0.0177496933690686,0.7009298709577022,-404.53982612212997,-426.10298608576124,-402.6241010582008,823.4760193984638,859.4041557486245,819.6445692706054,weibull
