,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
k[0],4.861,7.066,0.628,15.883,0.217,0.527,107.0,731.0,1.03
k[1],4.584,8.365,0.676,13.985,0.248,0.998,717.0,970.0,1.01
k[2],0.447,0.16,0.187,0.79,0.027,0.018,48.0,51.0,1.05
k[3],0.459,0.077,0.325,0.618,0.003,0.001,527.0,2323.0,1.01
k[4],5.136,17.374,0.564,15.799,0.386,6.934,759.0,1410.0,1.01
k[5],4.428,7.203,0.331,14.918,0.197,0.691,1484.0,1595.0,1.03
k[6],7.266,7.11,1.037,19.969,0.345,0.791,543.0,662.0,1.01
k[7],1.348,0.189,0.984,1.716,0.007,0.004,961.0,1856.0,1.01
k[8],1.249,0.757,0.174,2.738,0.023,0.029,1017.0,840.0,1.02
k[9],5.022,7.098,0.648,15.256,0.228,0.511,1003.0,699.0,1.02
k[10],0.445,0.125,0.252,0.724,0.013,0.011,126.0,48.0,1.02
k[11],4.88,8.825,0.346,15.772,0.251,0.863,1438.0,1503.0,1.02
k[12],3.182,2.964,0.36,8.121,0.197,0.306,114.0,671.0,1.03
k[13],1.673,0.766,0.575,3.162,0.027,0.028,687.0,1467.0,1.02
k[14],0.829,0.33,0.212,1.438,0.007,0.007,1592.0,1475.0,1.02
k[15],0.472,0.265,0.075,0.975,0.01,0.006,852.0,1777.0,1.02
k[16],9.592,6.199,3.222,20.99,0.297,0.49,595.0,476.0,1.02
k[17],6.475,3.753,2.43,12.697,0.136,0.249,785.0,1305.0,1.03
k[18],0.728,0.551,0.183,1.841,0.015,0.027,1510.0,1538.0,1.01
k[19],0.583,0.127,0.354,0.852,0.003,0.003,1776.0,1797.0,1.01
k[20],6.429,4.045,0.683,12.828,0.259,0.092,287.0,1289.0,1.02
k[21],29.917,34.979,0.345,68.58,7.629,6.902,7.0,25.0,1.53
k[22],1.001,0.314,0.531,1.547,0.013,0.019,411.0,1204.0,1.01
k[23],5.332,8.752,0.326,18.503,0.266,0.903,99.0,83.0,1.03
k[24],1.055,0.445,0.243,1.891,0.037,0.01,151.0,361.0,1.02
k[25],1.102,0.489,0.419,2.195,0.055,0.049,123.0,68.0,1.02
k[26],0.955,0.48,0.369,1.93,0.05,0.049,154.0,131.0,1.02
c,0.993,0.002,0.988,0.997,0.0,0.0,237.0,712.0,1.02
