alias,n_tasks,n_runs,logistic_b0,logistic_b1,weibull_lambda,weibull_k,logistic_bic,weibull_bic,logistic_aic,weibull_aic,bootstrap_n,bootstrap_success_logistic,bootstrap_success_weibull,bootstrap_success_both,logistic_b0_ci_low,logistic_b0_ci_high,logistic_b1_ci_low,logistic_b1_ci_high,weibull_lambda_ci_low,weibull_lambda_ci_high,weibull_k_ci_low,weibull_k_ci_high,bic_diff,bic_diff_ci_low,bic_diff_ci_high,bic_logistic_win_rate,bic_weight_logistic,bic_weight_logistic_ci_low,bic_weight_logistic_ci_high,aic_diff,aic_diff_ci_low,aic_diff_ci_high,aic_logistic_win_rate,aic_weight_logistic,aic_weight_logistic_ci_low,aic_weight_logistic_ci_high
Claude 3 Opus,170,1371,1.8602934242445694,-0.9311267899504513,0.055890621034036,0.6324447538425139,809.5810079913125,816.9317349157591,799.1344166321878,806.4851435566344,300,300,300,300,1.245121627804155,2.647024150948722,-1.1614030806205726,-0.7694056810121721,0.04076307410057343,0.07997003648135009,0.5334717123982475,0.7617566780416772,-8.318126416851044,-37.25768338820623,20.44267295048644,0.6966666666666667,0.6913916847968263,3.650094292061268e-05,0.9999999916418766,-8.318126416851044,-37.25768338820623,20.44267295048644,0.6966666666666667,0.6913916847968263,3.650094292061268e-05,0.9999999916418766
Claude 3.5 Sonnet (New),170,1384,2.9804557444113895,-0.8873298143351634,0.014627866570311869,0.6010561048648397,940.7421964007223,950.8688654146061,930.276730128367,940.4033991422509,300,300,300,300,2.34098175924814,3.953205674294203,-1.1601487353562578,-0.7114851309545782,0.010101244192492658,0.021722250888018012,0.5084096465942956,0.7593226140888552,-9.949741724539876,-36.64360289334837,18.913298127226927,0.7566666666666667,0.7519732633591472,7.816414397129396e-05,0.9999999889039903,-9.949741724539876,-36.64360289334837,18.913298127226927,0.7566666666666667,0.7519732633591472,7.816414397129396e-05,0.9999999889039903
Claude 3.5 Sonnet (Old),170,1378,2.762448527355218,-0.9484896997265035,0.02244730146062231,0.591164600020677,883.8681836046034,912.8110335853261,873.4114067014561,902.3542566821789,300,300,300,300,2.287564993419512,3.548470391882767,-1.153999456117353,-0.8391493616985697,0.015932620468836547,0.033735279892280215,0.5192018896596892,0.7277963360749568,-28.102730242473,-59.8492730810523,-0.5291884952566857,0.9766666666666667,0.968604550196745,0.565678643134915,0.9999999999998734,-28.102730242473,-59.8492730810523,-0.5291884952566857,0.9766666666666667,0.968604550196745,0.565678643134915,0.9999999999998734
Claude 3.7 Sonnet,170,1344,5.327957308838897,-1.2975385833405086,0.008679255011551363,0.8695920910950371,679.1529403157349,675.4870699648886,668.7461292735687,665.0802589227225,300,300,300,300,3.975117567686553,7.5366892319511365,-1.83071316007696,-1.014349400892384,0.006453231759622044,0.01199483471041456,0.7052069081974005,1.1193428849992746,3.033904109031937,-24.836926426947052,25.621486052041032,0.4,0.4169075622198298,2.7531256665008367e-06,0.9999959566899423,3.033904109031937,-24.836926426947052,25.62148605204106,0.4,0.4169075622198298,2.7531256665007948e-06,0.9999959566899423
GPT-2,152,746,-1.914437194280737,-0.603832287762404,9.133001611499582,0.37324527058898593,887.7687561428094,881.1585459852055,878.5393049424018,871.9290947847979,300,300,300,300,-3.46997320448111,-1.1887697737961485,-1.1478306671373846,-0.3622973870423356,4.035735834778711,16.984203979218393,0.2330820805340896,0.7456756184338642,7.237289992443323,1.4221038566672606,11.848311308545842,0.01,0.057540564083461566,0.0026669603536107955,0.3294197460404117,7.237289992443266,1.4221038566672606,11.848311308545842,0.01,0.05754056408346154,0.0026669603536107955,0.3294197460404117
GPT-4 0125,170,1379,2.1269229987238147,-1.1651727740624735,0.07426919076833578,0.7070816833169561,642.9774312762979,678.1723861664949,632.5192035207114,667.7141584109083,300,300,300,300,1.597924072073393,2.9451693587362686,-1.4289428005893863,-1.009145219074775,0.055388473581566046,0.1013571355779505,0.6185818974806206,0.8866533580767103,-32.37923749288103,-71.83507289297098,-3.443901556836828,0.9933333333333333,0.9866249639195996,0.8483616763761866,0.9999999999999997,-32.37923749288103,-71.83507289297098,-3.443901556836828,0.9933333333333333,0.9866249639195996,0.8483616763761866,0.9999999999999997
GPT-4 0314,170,1279,1.7962630269263509,-0.9606403983565112,0.06305382554122921,0.6582560921112982,694.0143260098869,702.5681436564437,683.7066584067292,692.260476053286,300,300,300,300,1.2697100034352489,2.701989137962927,-1.2562099971349368,-0.8115710058978985,0.04478426405323595,0.09117318215561565,0.556127327807639,0.8162160912798498,-9.826246919508321,-31.2488860700741,10.971205799426453,0.8233333333333334,0.8070370661605211,0.004133215681720273,0.9999998340490935,-9.826246919508321,-31.248886070074125,10.971205799426453,0.8233333333333334,0.8070370661605211,0.004133215681720273,0.9999998340490935
GPT-4 1106,170,1376,1.879788564122024,-0.8550388125639903,0.04455358499121754,0.596603094526213,894.5726012778201,891.1066032068146,884.1187292408335,880.652731169828,300,300,300,300,1.2912310980770467,2.6965742071351237,-1.1098980174210233,-0.6948318207700774,0.032599894507679854,0.06453884919733484,0.495670327782984,0.7434979061570813,1.6710099344397236,-34.7621018693994,26.27402776322214,0.44,0.4557570336801412,2.012743334104634e-06,0.9999999717020421,1.6710099344397236,-34.7621018693994,26.27402776322214,0.44,0.4557570336801413,2.012743334104634e-06,0.9999999717020421
GPT-4 Turbo,170,1372,2.454610088910346,-1.211389166147296,0.06518894785507891,0.7837281741301704,648.1204644967471,664.1018496613277,637.6724148801754,653.653800044756,300,300,300,300,1.827800924107968,3.537684192754409,-1.5907032335464573,-1.0415929226084084,0.04719379071799991,0.08643331026436551,0.680623956338021,0.970656300602072,-16.90928499544816,-42.79528823384988,8.387769200937907,0.91,0.8999260889312086,0.015042267262063473,0.9999999994836166,-16.90928499544816,-42.79528823384988,8.387769200937907,0.91,0.8999260889312086,0.015042267262063473,0.9999999994836166
GPT-4o,170,1362,2.103456285967937,-0.912394414314537,0.042856359224987636,0.643440091393191,850.3315406322428,846.0041410673824,839.8981216588238,835.5707220939635,300,300,300,300,1.5762684399314968,3.1695627260507977,-1.2291380303850692,-0.7449102157505908,0.029913191967704093,0.060398039122867064,0.5500943311553317,0.8277291209031763,5.324627123865071,-21.76467753850624,28.965694678687004,0.35,0.3455671571476985,5.145568392120875e-07,0.9999808035413859,5.324627123865071,-21.76467753850624,28.965694678687004,0.35,0.3455671571476985,5.145568392120875e-07,0.9999808035413859
davinci-002 (GPT-3),152,1469,-2.5860079758497014,-1.3393741047311445,3.7051171748143195,0.821384510557605,640.2030134373896,636.7216516835823,629.6183390850418,626.1369773312346,300,300,300,300,-3.5626944709747996,-2.0060436544768354,-1.7229855267898107,-1.1062346923509372,2.661758401573835,5.579462731055934,0.647229457671576,1.1815762174028486,4.821625147500896,-9.419675542155987,15.314657624120176,0.22333333333333333,0.24930164079209163,0.00047709548409745545,0.9910290998112786,4.821625147500896,-9.419675542155987,15.314657624120176,0.22333333333333333,0.24930164079209155,0.00047709548409745545,0.9910290998112786
human,170,793,2.329914147202478,-0.4508924143175148,0.0020490131766937396,0.377020848576964,771.0413721287263,771.228361331601,761.6897256854566,761.8767148883313,300,300,300,300,1.9096317997401062,2.933241867364941,-0.5835970653839758,-0.3729226310198633,0.0009703307273819725,0.0043458824192607074,0.3112309773417898,0.48450553742316055,-0.3529020559726632,-8.09291017532727,4.646398401386505,0.55,0.536811077786868,0.08922076991522054,0.9827913998373322,-0.3529020559726632,-8.09291017532727,4.646398401386505,0.55,0.536811077786868,0.08922076991522054,0.9827913998373322
o1,170,1337,3.333100201716316,-0.8538639129944671,0.009080762207621794,0.6326615818124182,892.131688139698,885.5123067061212,881.7353209854941,875.1159395519173,300,300,300,300,2.7376243331559547,4.378705706888855,-1.0793702471879763,-0.7182884260413218,0.006717782795536823,0.013524865782752847,0.5416982124164305,0.7809854763871469,5.246582763828769,-14.711910809095087,25.021945458737214,0.29333333333333333,0.30472059786870226,3.8061193943666066e-06,0.9993612265029629,5.246582763828769,-14.711910809095087,25.021945458737214,0.29333333333333333,0.3047205978687023,3.8061193943666066e-06,0.9993612265029629
o1-preview,169,1337,3.3615570073003442,-1.020050183322948,0.0177496933690686,0.7009298709577022,823.4760193984638,819.6445692706054,813.0796522442599,809.2482021164016,300,300,300,300,2.7173341425953947,4.1850492358307365,-1.2112257424184991,-0.8782630075153497,0.012901677287078833,0.024567044120231335,0.6167611256265844,0.8348472722730327,4.059511514111364,-16.393177085268494,24.19157147695124,0.38,0.3718575868417994,5.635951561899193e-06,0.9997238583513862,4.059511514111364,-16.393177085268494,24.19157147695124,0.38,0.3718575868417994,5.635951561899193e-06,0.9997238583513862
