alias,n,lambda,lambda_ci_low,lambda_ci_high,k,k_ci_low,k_ci_high,bootstrap_n,bootstrap_success
Claude 3 Opus,1371,0.055890621034036,0.047189030803738916,0.06586829429949112,0.6324447538425139,0.5795930719638711,0.6923914904656285,300,300
Claude 3.5 Sonnet (New),1384,0.014627866570311869,0.01242211953562667,0.01708057066536784,0.6010561048648397,0.5587320573786042,0.6547341681216304,300,300
Claude 3.5 Sonnet (Old),1378,0.02244730146062231,0.018583393016358772,0.026942152688518076,0.591164600020677,0.5407882850568332,0.6593539799767384,300,300
Claude 3.7 Sonnet,1344,0.008679255011551363,0.007538664971532761,0.010270594742230906,0.8695920910950371,0.788037806592256,0.9945126905721007,300,300
GPT-2,746,9.133001611499582,7.013534279399964,12.115743734476343,0.37324527058898593,0.2861977429850495,0.48935251792984535,300,300
GPT-4 0125,1379,0.07426919076833578,0.063263812361046,0.08731105370829308,0.7070816833169561,0.6144716362537015,0.8210459042032513,300,300
GPT-4 0314,1279,0.06305382554122921,0.05263135464292073,0.0750277212308444,0.6582560921112982,0.608626450211592,0.7257110848300593,300,300
GPT-4 1106,1376,0.04455358499121754,0.038095517667059174,0.05454632920431473,0.596603094526213,0.5409088428422851,0.6561227471744117,300,300
GPT-4 Turbo,1372,0.06518894785507891,0.05646761256161875,0.07398155393660365,0.7837281741301704,0.7098595593092657,0.8716254595692465,300,300
GPT-4o,1362,0.042856359224987636,0.036191110092186105,0.05111191273827741,0.643440091393191,0.5913366257030032,0.7054323579542695,300,300
davinci-002 (GPT-3),1469,3.7051171748143195,3.0745510078855296,4.467955987802724,0.821384510557605,0.7175117015637491,0.9460018784807432,300,300
human,793,0.0020490131766937396,0.0013264738582521288,0.003036995348630097,0.377020848576964,0.32858673963729634,0.44381946596486394,300,300
o1,1337,0.009080762207621794,0.00749192713287125,0.010788810514090837,0.6326615818124182,0.5756308807389445,0.7017007095085781,300,300
o1-preview,1337,0.0177496933690686,0.015050921016031078,0.021030613062705053,0.7009298709577022,0.6453359893350731,0.773030273413756,300,300
